Time,Col2,Col3,Position,Col5
2.759993,,,,0.013239113865081968
2.767993,,,,0.013293657132807554
2.775993,,,,0.013451223198536722
2.783993,,,,0.013499712851915629
2.791992,,,,0.013657278917644797
2.799992,,,,0.013711822185370384
2.807992,,,,0.013875462111648057
2.815992,,,,0.013930005379373644
2.823992,,,,0.014093635182550404
2.831992,,,,0.0141421147128284
2.839992,,,,0.01429969090165848
2.847992,,,,0.014354234169384068
2.855992,,,,0.01451181035821415
2.863991,,,,0.014566353625939735
2.871991,,,,0.014723919691668905
2.879991,,,,0.014772409345047812
2.887991,,,,0.014929975410776982
2.895991,,,,0.014984518678502567
2.903991,,,,0.015142094867332648
2.911991,,,,0.015196638135058236
2.919991,,,,0.015354204200787402
2.927991,,,,0.01540874746851299
2.935991,,,,0.01556632365734307
2.94399,,,,0.015614803187621066
2.95199,,,,0.015772379376451148
2.95999,,,,0.015826922644176736
2.96799,,,,0.015984498833006816
2.97599,,,,0.0160390421007324
2.98399,,,,0.016196608166461568
2.99199,,,,0.016245097819840477
2.99999,,,,0.016402663885569647
3.00799,,,,0.016457207153295232
3.01599,,,,0.016608719604677722
3.023989,,,,0.016663262872403307
3.031989,,,,0.01682083906123339
3.039989,,,,0.016869318591511386
3.047989,,,,0.01702689478034147
3.055989,,,,0.01707537431061946
3.063989,,,,0.017232950499449545
3.071989,,,,0.017287493767175133
3.079989,,,,0.017439006218557623
3.087989,,,,0.01749354948628321
3.095989,,,,0.017651115552012375
3.103988,,,,0.017705658819737964
3.111988,,,,0.01785717127112045
3.119988,,,,0.01791171453884604
3.127988,,,,0.0180753443420228
3.135988,,,,0.018129887609748385
3.143988,,,,0.018287463798578464
3.151988,,,,0.018342007066304053
3.159988,,,,0.01850563686948081
3.167988,,,,0.018560180137206398
3.175987,,,,0.018723820063484074
3.183987,,,,0.018772299593762067
3.191987,,,,0.01893592939693883
3.199987,,,,0.01899047266466441
3.207987,,,,0.019141985116046905
3.215987,,,,0.019196528383772487
3.223987,,,,0.019354104572602573
3.231987,,,,0.01940864784032816
3.239987,,,,0.01956621390605733
3.247987,,,,0.019614703559436234
3.255986,,,,0.019772269625165404
